TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"May 29, 2018",168.52,174.7,168.52,174.1,298400
"May 28, 2018",173.95,174.5,169.01,170.53,693200
"May 25, 2018",173.01,176.49,170.0,170.61,562200
"May 24, 2018",174.0,177.01,173.0,174.67,565600
"May 23, 2018",175.6,180.5,174.0,175.06,851300
"May 22, 2018",171.0,176.0,171.0,175.17,1312900
"May 21, 2018",170.9,172.0,168.0,171.75,1227500
"May 18, 2018",169.0,170.0,166.99,167.93,423100
"May 17, 2018",169.12,170.98,167.5,168.68,446200
"May 16, 2018",170.95,170.99,169.2,170.12,546800
"May 15, 2018",170.46,172.0,168.5,170.01,1547000
"May 14, 2018",175.5,175.5,169.49,170.02,950200
"May 11, 2018",172.31,176.5,172.31,175.79,192000
"May 10, 2018",177.01,178.5,174.0,174.57,1138100
"May 9, 2018",177.1,177.98,173.0,176.06,1882200
"May 8, 2018",177.05,178.3,175.0,176.52,1388000
"May 7, 2018",180.0,181.0,177.0,178.01,714500
"May 4, 2018",183.1,185.0,180.07,181.75,895900
"May 3, 2018",191.25,194.4,183.5,184.98,1477300
"May 2, 2018",196.0,196.0,190.12,191.07,1244600
"Apr 30, 2018",197.22,199.5,192.5,194.7,1038700
"Apr 27, 2018",197.0,198.48,195.0,196.5,1792500
"Apr 26, 2018",199.99,200.0,193.99,195.97,1507700
"Apr 25, 2018",200.79,200.79,198.51,199.17,186800
"Apr 24, 2018",198.05,201.75,197.57,200.78,967700
"Apr 23, 2018",198.0,198.98,196.5,198.37,1088000
"Apr 20, 2018",200.0,202.7,195.6,197.44,532600
"Apr 19, 2018",198.01,202.7,195.06,199.54,1278300
"Apr 18, 2018",206.0,206.0,198.5,199.29,1696600
"Apr 17, 2018",208.99,208.99,203.56,205.87,2731400
"Apr 16, 2018",207.05,210.5,207.05,209.05,266900
"Apr 13, 2018",209.6,210.9,208.75,209.17,851700
"Apr 12, 2018",215.01,215.01,210.0,210.71,540900
"Apr 11, 2018",217.0,218.4,214.26,215.63,324700
"Apr 10, 2018",215.05,217.99,214.0,216.03,556100
"Apr 9, 2018",218.0,219.89,217.0,217.78,212800
"Apr 6, 2018",221.0,229.72,215.0,218.99,4621400
"Apr 5, 2018",210.0,220.04,209.0,218.79,1950700
"Apr 4, 2018",207.5,211.0,206.31,209.57,1125300
"Apr 3, 2018",207.5,209.9,207.4,207.82,957500
"Apr 2, 2018",210.4,210.4,206.0,208.97,1019200
"Mar 30, 2018",209.4,213.85,207.9,212.15,1077500
"Mar 29, 2018",208.88,210.0,207.1,208.12,1269600
"Mar 28, 2018",209.56,211.5,208.0,208.88,1093100
"Mar 27, 2018",211.0,213.89,210.5,210.9,150600
"Mar 26, 2018",211.0,216.5,210.31,213.1,976200
"Mar 22, 2018",211.89,214.99,211.89,214.71,657400
"Mar 21, 2018",205.01,212.9,205.25,211.89,995500
"Mar 20, 2018",197.6,208.0,197.6,204.92,1082500
"Mar 19, 2018",200.55,202.0,198.25,199.03,657100
"Mar 16, 2018",200.02,205.0,200.02,201.78,1043800
"Mar 15, 2018",200.08,203.5,198.11,202.35,528200
"Mar 14, 2018",205.4,205.4,199.5,200.08,2374500
"Mar 13, 2018",205.5,206.49,203.1,205.52,621600
"Mar 12, 2018",204.0,207.88,204.0,205.64,357700
"Mar 9, 2018",202.07,205.22,201.1,204.66,110600
"Mar 8, 2018",205.06,207.5,202.5,203.47,700600
"Mar 7, 2018",208.8,210.25,206.25,206.67,1772500
"Mar 6, 2018",212.0,214.0,208.52,209.48,431600
"Mar 5, 2018",210.0,214.88,208.05,212.86,423400
"Mar 2, 2018",208.0,211.0,206.02,210.09,584800
"Mar 1, 2018",208.0,209.9,206.1,208.14,608300
"Feb 28, 2018",208.9,215.0,206.03,208.35,1410000
"Feb 27, 2018",203.53,211.0,203.0,209.7,506100
"Feb 26, 2018",212.84,213.51,206.2,207.71,429600
"Feb 23, 2018",215.0,216.0,207.1,210.53,969000
"Feb 22, 2018",202.11,212.5,200.0,210.65,1432200
"Feb 21, 2018",209.6,211.49,200.5,204.09,1011700
"Feb 20, 2018",211.51,211.61,203.01,207.72,784100
"Feb 19, 2018",213.0,216.0,211.01,212.29,920100
"Feb 16, 2018",203.0,214.93,203.0,211.7,1355300
"Feb 15, 2018",203.47,205.0,198.52,204.7,552000
"Feb 14, 2018",197.2,206.0,195.5,204.37,1344000
"Feb 13, 2018",191.51,199.9,189.0,197.82,1667100
"Feb 12, 2018",195.5,195.92,191.0,191.51,820200
"Feb 9, 2018",190.87,196.0,190.11,195.22,750300
"Feb 8, 2018",193.06,195.99,191.0,193.29,344400
"Feb 7, 2018",195.5,197.0,194.5,195.11,1051800
"Feb 6, 2018",195.55,196.85,193.0,194.95,707000
"Feb 2, 2018",198.0,201.89,196.1,197.48,1017200
"Feb 1, 2018",195.0,201.0,194.0,198.45,1634300
"Jan 31, 2018",194.89,197.45,191.5,194.02,2641700
"Jan 30, 2018",204.2,205.48,194.2,195.55,3056400
"Jan 29, 2018",206.0,209.0,201.0,203.53,1239200
"Jan 26, 2018",208.1,208.1,200.1,201.9,1368400
"Jan 25, 2018",210.1,211.0,208.0,208.68,569600
"Jan 24, 2018",205.0,213.2,205.0,210.75,1984200
"Jan 23, 2018",208.5,208.89,198.99,206.27,3605300
"Jan 22, 2018",206.85,210.4,204.0,208.88,1780700
"Jan 19, 2018",204.5,209.0,200.56,207.09,1001500
"Jan 18, 2018",202.01,205.0,199.99,203.51,2690700
"Jan 17, 2018",195.0,203.0,195.0,200.74,1430700
"Jan 16, 2018",190.0,198.39,190.0,197.9,617000
"Jan 15, 2018",193.35,194.3,189.0,190.47,1246600
"Jan 12, 2018",192.0,195.25,190.75,194.82,1679900
"Jan 11, 2018",192.0,198.0,190.15,193.41,2117400
"Jan 10, 2018",186.9,193.45,186.9,192.09,1833400
"Jan 9, 2018",192.15,192.5,184.01,187.48,1685500
"Jan 8, 2018",186.82,193.1,185.0,192.08,2389200
"Jan 5, 2018",181.5,187.5,181.0,185.87,2919700
"Jan 4, 2018",177.9,182.8,177.0,181.79,1743700
"Jan 3, 2018",178.6,182.0,176.55,178.06,1208500
"Jan 2, 2018",173.95,180.0,173.5,179.67,2615800
"Jan 1, 2018",168.99,174.45,166.0,173.97,887100
"Dec 29, 2017",167.68,170.5,166.8,167.09,1029400
"Dec 28, 2017",170.5,172.28,169.08,169.73,987700
"Dec 27, 2017",171.0,173.12,169.51,170.89,1533600
"Dec 26, 2017",169.99,171.8,168.02,170.94,268600
"Dec 22, 2017",172.0,172.0,168.98,170.07,1280900
"Dec 21, 2017",167.25,172.92,166.0,169.15,3823900
"Dec 20, 2017",161.0,167.07,159.25,167.01,1919600
"Dec 19, 2017",159.9,160.0,156.99,159.12,829400
"Dec 18, 2017",159.95,159.98,157.0,157.6,808100
"Dec 15, 2017",156.35,160.5,155.0,158.63,4117600
"Dec 14, 2017",154.35,155.98,154.0,155.07,327000
"Dec 13, 2017",156.5,157.0,154.25,156.22,2960200
"Dec 12, 2017",151.01,161.9,148.32,156.81,6290600
"Dec 11, 2017",155.0,158.9,153.5,154.32,1426800
"Dec 8, 2017",148.25,157.99,148.25,155.92,2389300
"Dec 7, 2017",159.0,159.0,152.0,152.41,1381200
"Dec 6, 2017",160.0,160.99,158.25,158.65,290000
"Dec 5, 2017",161.65,161.97,159.25,159.58,1080600
